station,start_time,end_time,zr_hours,label,duration
NQA,1981-12-21 05:00,1981-12-21 10:25,5.42,0,5.42
MEM,1981-12-21 05:00,1981-12-21 10:00,4.12,0,5.0
SZL,1981-12-21 05:00,1981-12-21 08:00,3.0,0,3.0
LZK,1981-12-21 06:00,1981-12-21 06:00,0.0,0,0.0
MKL,1981-12-21 06:00,1981-12-21 13:00,7.0,1,7.0
UNO,1981-12-21 06:00,1981-12-21 06:00,0.0,0,0.0
EVV,1981-12-21 07:00,1981-12-21 13:00,3.35,0,6.0
PAH,1981-12-21 07:00,1981-12-21 17:00,7.0,1,10.0
BRL,1981-12-21 07:00,1981-12-21 07:00,0.0,0,0.0
CEY,1981-12-21 07:00,1981-12-21 17:00,7.0,1,10.0
MSL,1981-12-21 08:00,1981-12-21 13:00,3.9,0,5.0
LAF,1981-12-21 08:00,1981-12-21 09:00,1.0,0,1.0
HOP,1981-12-21 09:00,1981-12-21 16:00,7.0,1,7.0
VIH,1981-12-21 09:00,1981-12-21 09:00,0.0,0,0.0
MRC,1981-12-21 09:20,1981-12-21 15:00,5.67,0,5.67
BNA,1981-12-21 09:20,1981-12-21 15:00,5.67,0,5.67
BWG,1981-12-21 10:00,1981-12-21 15:00,5.0,0,5.0
HUF,1981-12-21 10:00,1981-12-21 14:00,2.0,0,4.0
EAU,1981-12-21 10:00,1981-12-21 10:00,0.0,0,0.0
TUP,1981-12-21 11:00,1981-12-21 12:00,1.0,0,1.0
UCY,1981-12-21 12:00,1981-12-21 12:00,0.0,0,0.0
MXF,1981-12-21 12:00,1981-12-21 12:00,0.0,0,0.0
HSV,1981-12-21 12:00,1981-12-21 17:00,5.0,0,5.0
DYR,1981-12-21 12:00,1981-12-21 12:00,0.0,0,0.0
OIN,1981-12-21 13:00,1981-12-21 13:00,0.0,0,0.0
MCK,1981-12-21 13:00,1981-12-21 13:00,0.0,0,0.0
SBN,1981-12-21 13:00,1981-12-21 13:00,0.0,0,0.0
CSV,1981-12-21 14:00,1981-12-22 03:00,12.58,1,13.0
OWB,1981-12-21 14:10,1981-12-21 15:05,0.83,0,0.92
FDY,1981-12-21 14:12,1981-12-21 14:30,0.3,0,0.3
SDF,1981-12-21 14:35,1981-12-21 17:00,2.42,0,2.42
CHA,1981-12-21 14:37,1981-12-22 01:00,9.2,1,10.38
LOU,1981-12-21 15:00,1981-12-21 17:00,2.0,0,2.0
IND,1981-12-21 15:00,1981-12-21 16:00,0.32,0,1.0
TYS,1981-12-21 16:00,1981-12-21 20:00,4.0,0,4.0
LOZ,1981-12-21 16:00,1981-12-22 00:00,7.0,1,8.0
LEX,1981-12-21 16:19,1981-12-22 00:00,6.08,1,7.68
JKL,1981-12-21 18:00,1981-12-21 19:00,1.0,0,1.0
BLF,1981-12-21 18:42,1981-12-22 02:00,5.3,0,7.3
TRI,1981-12-21 19:00,1981-12-21 20:00,1.0,0,1.0
HTS,1981-12-21 19:00,1981-12-21 23:00,4.0,0,4.0
GUS,1981-12-21 19:00,1981-12-21 19:00,0.0,0,0.0
BKW,1981-12-21 20:00,1981-12-22 06:00,9.0,1,10.0
CRW,1981-12-21 20:00,1981-12-21 20:00,0.0,0,0.0
MGE,1981-12-21 20:21,1981-12-22 03:00,4.83,0,6.65
DAY,1981-12-21 21:00,1981-12-21 23:00,2.0,0,2.0
