median_time,filename,zr_hours,index,med_lat,med_lon
1982-02-01 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201311700_198202011328.csv,3.205,564066857.782,43.5,-72.5
1982-02-03 07:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202021200_198202040000.csv,2.793,333427.572,39.0,-81.5
1982-02-03 07:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202030117_198202032136.csv,4.242,6048206.497,43.0,-74.0
1982-02-05 18:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202050600_198202060800.csv,2.274,118842748.853,30.75,-97.0
1982-02-05 21:34,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202051100_198202061100.csv,2.488,7695678.359,35.75,-90.0
1982-02-08 21:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202081400_198202090700.csv,1.533,164471.713,36.0,-97.75
1982-02-09 11:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202090227_198202092000.csv,2.727,193787.015,39.25,-77.75
1982-02-17 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202161700_198202172200.csv,3.937,1977813.271,47.25,-95.5
1982-02-17 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202170800_198202180120.csv,3.423,972491.877,40.25,-79.0
1982-02-18 09:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202180200_198202181500.csv,3.044,126726.196,41.25,-92.5
1982-02-18 17:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202180800_198202190000.csv,3.937,47181.482,38.25,-79.25
1982-02-19 12:15,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202190300_198202191400.csv,2.501,176284.832,41.0,-76.0
1982-02-24 10:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202240200_198202241400.csv,2.395,2481607.157,41.25,-83.75
1982-02-26 11:14,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202260140_198202261500.csv,4.33,53857.519,34.5,-91.0
1982-02-26 23:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202261626_198202270700.csv,7.277,39414.531,34.0,-82.0
1982-02-27 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198202270800_198202280335.csv,4.973,128072.741,36.25,-79.75
1982-03-02 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203020509_198203030300.csv,1.982,6737668.873,42.5,-94.25
1982-03-03 04:20,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203022332_198203031900.csv,3.224,135070.526,39.25,-84.5
1982-03-04 04:41,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203031600_198203041500.csv,4.148,680335942.062,40.0,-87.25
1982-03-04 23:19,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203041200_198203051436.csv,2.669,16530610.494,42.0,-76.25
1982-03-06 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203060800_198203061500.csv,0.855,27035.248,37.75,-86.25
1982-03-07 02:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203061830_198203071600.csv,3.191,96890.752,42.0,-75.5
1982-03-10 04:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203092300_198203101100.csv,1.408,4816331.564,40.5,-89.75
1982-03-10 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203100800_198203102100.csv,2.35,332258528.52,47.75,-97.25
