station,lon,lat
PVC,-70.22,42.07
TAN,-71.0211,41.8756
BAF,-72.7161,42.1578
ORH,-71.8757,42.2673
ADW,-76.867,38.8108
NAK,-76.4891,38.9913
DMH,-76.61,39.28
MTN,-76.4138,39.3257
BWI,-76.6683,39.1754
CGE,-76.0304,38.5393
RSP,-77.468,39.645
CGS,-76.9223,38.9806
CBE,-78.7609,39.6154
ESN,-76.069,38.8042
FME,-76.7594,39.0854
FDK,-77.3743,39.4176
GAI,-77.166,39.1683
HGR,-77.7297,39.7078
2W6,-76.5501,38.3154
2G4,-79.3394,39.5803
OXB,-75.1239,38.3083
NHK,-76.4118,38.286
APG,-76.1688,39.4662
RJD,-75.8663,38.9701
SBY,-75.5103,38.3405
W29,-76.3296,38.9764
NUI,-76.4285,38.146
DMW,-77.0077,39.6083
LEW,-70.2835,44.0485
AUG,-69.8,44.32
BGR,-68.8281,44.8074
BHB,-68.3616,44.4498
NHZ,-69.9386,43.8922
CAR,-68.02,46.87
40B,-69.531,46.609
EPM,-67.0127,44.9101
FVE,-68.3127,47.2855
IZG,-70.9479,43.9911
GNR,-69.5953,45.4622
HUL,-67.7921,46.1231
MLT,-68.6856,45.6478
OLD,-68.6743,44.9525
PWM,-70.3044,43.6424
PQI,-68.0448,46.689
8B0,-70.6646,44.9919
RKD,-69.0993,44.0601
SFM,-70.708,43.3939
WVL,-69.6755,44.5332
IWI,-69.7126,43.9614
ADG,-84.0773,41.8677
AMN,-84.6879,43.3221
APN,-83.5644,45.0717
ARB,-83.7397,42.224
BAX,-82.9854,43.7802
BTL,-85.2515,42.3073
SJX,-85.5666,45.6923
ACB,-85.1984,44.9886
BEH,-86.4285,42.1286
RQB,-85.5041,43.7226
CAD,-85.4189,44.2753
CFS,-83.4454,43.4588
CVX,-85.2747,45.3047
FPK,-84.8114,42.5745
SLH,-84.5193,45.6537
CIU,-84.47,46.25
OEB,-85.0525,41.9333
P59,-87.875,47.4669
DET,-83.0099,42.4092
ONZ,-83.1615,42.0991
DTW,-83.33,42.23
YIP,-83.5304,42.2379
DRM,-83.7439,46.0093
ESC,-87.0937,45.7227
FNT,-83.7494,42.9667
FKS,-86.2008,44.6252
FFX,-85.9949,43.4393
GLR,-84.7036,45.0135
GRR,-85.52,42.88
GOV,-84.73,44.68
SAW,-87.3954,46.3536
CMX,-88.4891,47.1684
MGN,-84.9134,45.4256
JYM,-84.5858,41.9213
BIV,-86.0967,42.7461
HTL,-84.6711,44.3598
OZW,-83.9822,42.6294
Y70,-85.0606,42.938
IMT,-88.1146,45.8184
IWD,-90.1314,46.5275
JXN,-84.4594,42.2598
AZO,-85.5519,42.2347
DUH,-83.6553,41.7358
LAN,-84.58,42.78
D95,-83.2723,43.0666
LDM,-86.4079,43.9625
MCD,-84.6372,45.865
MBL,-86.2469,44.2725
ISQ,-86.1718,45.9746
P75,-86.23,45.95
RMY,-84.9554,42.2512
TEW,-84.4232,42.5658
MNM,-87.6384,45.1266
IKW,-84.2613,43.6629
TTF,-83.4347,41.9399
MOP,-84.7372,43.6217
P53,-86.6508,46.4119
MKG,-86.2367,43.1711
ERY,-85.4572,46.3111
OSC,-83.3942,44.4515
RNP,-84.1389,42.9929
PLN,-84.7967,45.5709
PTK,-83.4201,42.6655
P58,-82.7931,44.0219
PHN,-82.5289,42.911
PZQ,-83.8129,45.4071
MBS,-84.08,43.53
HYX,-83.8623,43.4334
ANJ,-84.3684,46.4792
MTC,-82.8355,42.6083
LWA,-86.2561,42.3508
IRS,-85.4389,41.8133
HAI,-85.5934,41.9598
TVC,-85.5824,44.7416
VLL,-83.1779,42.5429
Y31,-84.1798,44.2448
AIT,-93.6768,46.5484
AEL,-93.3672,43.6815
AXN,-95.3947,45.8663
AQP,-96.0043,45.2275
AUM,-92.9333,43.6647
BDE,-94.6122,48.7284
BJI,-94.9337,47.5094
BBB,-95.6506,45.3319
FOZ,-93.6502,47.7828
BRD,-94.1308,46.4047
CFE,-93.8433,45.159
CBG,-93.2642,45.5575
CNB,-96.266,44.7295
COQ,-92.5036,46.7011
CQM,-92.6894,47.8219
CDD,-92.483,48.266
CKN,-96.6214,47.8417
DTL,-95.8856,46.8252
TOB,-92.8315,44.018
DLH,-92.1936,46.8421
DYT,-92.0434,46.7219
Y63,-95.992,45.9861
ELO,-91.8371,47.8287
EVM,-92.4981,47.4251
FRM,-94.4156,43.6439
FBL,-93.3108,44.3247
FFM,-96.1567,46.2844
FGN,-94.9028,49.3183
FSE,-95.7735,47.5928
GYL,-94.0812,44.756
GHW,-95.3204,45.6439
GNA,-90.3457,47.7453
CKC,-90.3829,47.8383
GPZ,-93.5097,47.2111
GDB,-95.556,44.7533
HCO,-96.943,48.7527
HIB,-92.839,47.3866
04W,-92.8952,46.0229
HCD,-94.3825,44.8599
INL,-93.3956,48.5595
MJQ,-94.9866,43.65
LJF,-94.5072,45.0971
LXL,-94.3469,45.9492
14Y,-94.8739,45.8983
XVG,-94.2039,46.99
LYV,-96.2158,43.6212
DXX,-96.1779,44.9864
3N8,-95.9281,47.2605
MKT,-93.92,44.22
MGG,-93.9856,45.236
MML,-95.82,44.45
HZX,-93.3098,46.6188
ANE,-93.2102,45.1449
MSP,-93.2313,44.8854
MIC,-93.3511,45.0622
FCM,-93.4607,44.8261
LVN,-93.2273,44.6252
MVE,-95.7102,44.969
JKJ,-96.664,46.8393
MZH,-92.8048,46.4186
JMR,-93.2718,45.8861
MOX,-95.9672,45.566
ULM,-94.5,44.32
OVL,-95.0328,44.7786
ORB,-92.856,48.0159
VVV,-96.4244,45.3057
OWA,-93.2606,44.1233
PKD,-95.07,46.9
PEX,-94.7466,45.3723
PWC,-94.3817,46.7248
PQN,-96.3004,43.9821
FKA,-92.1797,43.6767
PNM,-93.6082,45.5599
RYM,-94.3575,46.0895
RGK,-92.4868,44.5915
RWF,-95.082,44.5469
RST,-92.4916,43.9041
9MN,-92.4831,44.0198
ROX,-95.6971,48.856
ROS,-92.953,45.698
D39,-94.9334,45.7066
BFW,-91.4098,47.2521
DVP,-95.7826,43.9868
SGS,-93.0329,44.8571
SYN,-93.0145,44.4736
SAZ,-94.8066,46.3809
STC,-94.0513,45.5433
JYG,-94.5579,43.9863
STP,-93.06,44.9345
21D,-92.8557,44.9975
TVF,-96.185,48.0657
P61,-90.8231,47.588
TKC,-95.6072,44.2491
TWM,-91.745,47.0492
ADC,-95.211,46.4503
Y49,-94.6453,47.1595
RRT,-95.3483,48.9414
ACQ,-93.5529,44.0735
VWU,-94.5167,48.1539
ETH,-96.5435,45.7805
BDH,-95.1304,45.1177
ILL,-95.0888,45.1157
MWM,-95.1094,43.9134
ONA,-91.7083,44.0772
OTG,-95.5792,43.6551
VER,-92.6827,38.9467
BBG,-93.2005,36.5321
FWB,-93.4022,36.6985
OZS,-92.6912,37.974
H21,-92.6912,37.974
EZZ,-94.2764,39.7276
CGI,-89.5708,37.2253
CDJ,-93.5792,39.8233
GLY,-93.6842,38.3566
COU,-92.2183,38.8169
FAM,-90.4286,37.761
TBN,-92.1407,37.7416
GVW,-94.5603,38.8439
HAE,-91.4439,39.7252
LRY,-94.3421,38.611
JEF,-92.1561,38.5912
JLN,-94.4952,37.1522
AIZ,-92.5495,38.096
MKC,-94.593,39.123
MCI,-94.7139,39.2976
TKX,-90.0366,36.2259
IRK,-92.5433,40.0972
LBO,-92.6524,37.6483
LXT,-94.3714,38.9597
MAW,-89.9922,36.6005
MHL,-93.2028,39.0955
EVU,-94.915,40.3525
MYJ,-91.8183,39.1575
MBY,-92.4244,39.464
HFJ,-94.0128,36.9062
GPH,-94.3096,39.3325
K02,-89.8621,37.8687
